pl_name,ra,dec,sy_dist,sy_plx
Kepler-175 c,289.5532320,43.8761160,1312.3400000,0.7334670
Kepler-1750 b,292.3514917,48.5110714,1497.3300000,0.6392910
Kepler-1751 b,284.8465476,49.6923412,1291.4700000,0.7455760
Kepler-1752 b,290.8541401,51.2227435,962.8880000,1.0103000
Kepler-1753 b,288.2366640,46.6058744,707.6880000,1.3847700
Kepler-1754 b,295.4570818,50.0771838,718.9450000,1.3634600
Kepler-1755 b,296.8460920,40.1385777,982.3830000,0.9897450
Kepler-1757 b,297.7397823,46.9418957,807.3080000,1.2103900
Kepler-1758 b,297.7968197,39.9213378,1588.4100000,0.6022260
Kepler-1759 b,298.4656275,48.5593334,385.3480000,2.5663500
Kepler-176 b,294.6679021,43.8532104,527.3210000,1.8677700
Kepler-176 c,294.6679021,43.8532104,527.3210000,1.8677700
Kepler-176 d,294.6679021,43.8532104,527.3210000,1.8677700
Kepler-176 e,294.6679021,43.8532104,527.3210000,1.8677700
Kepler-1761 b,284.1329728,49.1426325,221.1860000,4.4922800
Kepler-1762 b,290.4931471,39.7855117,1663.7400000,0.5728290
Kepler-1763 b,294.1130368,40.3628861,756.4860000,1.2932400
Kepler-1764 b,293.8799047,41.3938374,1542.4800000,0.6203250
Kepler-1765 b,298.0144601,42.9574314,764.4560000,1.2797300
Kepler-1766 b,294.2772343,46.6752351,501.2290000,1.9663900
Kepler-1767 b,293.6441248,46.9896696,820.5060000,1.1906200
Kepler-1768 b,299.9572335,44.7718851,632.7660000,1.5515900
Kepler-1769 b,294.7433755,43.4611633,438.4120000,2.2523600
Kepler-177 b,286.0471442,45.0532038,1435.4400000,0.6678130
Kepler-177 c,286.0471442,45.0532038,1435.4400000,0.6678130
Kepler-1770 b,299.2502851,43.4103663,582.9420000,1.6867200
Kepler-1772 b,289.4381201,39.2703594,871.5640000,1.1186300
Kepler-1773 b,286.2232284,38.2581676,681.2550000,1.4392400
Kepler-1774 b,288.5743991,40.9886069,816.5920000,1.1958800
Kepler-1775 b,286.4023452,38.7385674,657.0230000,1.4931700
Kepler-1776 b,291.5344017,47.0424958,690.3360000,1.4197400
Kepler-1777 b,290.3286455,37.7231188,619.1460000,1.5863600
